ID,Title,Profile,Result
1.1.1,"Ensure GPG keys are managed",L1,Pass
1.1.2,"Ensure separate partition exists for /tmp",L1,Fail
1.1.5,"Ensure separate partition exists for /var/log/audit",L1,Fail
1.1.6,"Ensure separate partition exists for /home",L1,Fail
1.1.7,"Ensure nodev option is set for /tmp",L1,Fail
1.1.8,"Ensure nodev option is set for /var/tmp",L1,Fail
1.1.9,"Ensure nosuid option is set for /tmp",L1,Fail
1.1.10,"Ensure nosuid option is set for /var/tmp",L1,Fail
1.1.11,"Ensure noexec option is set for /tmp",L1,Fail
1.1.12,"Ensure noexec option is set for /var/tmp",L1,Fail
1.1.13,"Ensure nodev option is set for removable media partitions",L1,Manual Check Required
1.1.14,"Ensure nosuid option is set for removable media partitions",L1,Manual Check Required
1.1.15,"Ensure noexec option is set for removable media partitions",L1,Manual Check Required
1.1.16,"Ensure sticky bit is set on all world-writable directories",L1,Pass
1.1.19,"Ensure noexec option is set on /dev/shm",L1,Fail
1.2.1,"Ensure package manager configuration file permissions are correctly set",L1,Pass
1.2.2,"Ensure GPG key is configured for package manager",L1,Pass
1.3.1,"Ensure aide is installed",L1,Fail
1.3.2,"Ensure filesystem integrity is regularly checked",L1,Fail
1.4.1,"Ensure permissions on /etc/shadow are configured",L1,Fail
1.4.2,"Ensure permissions on /etc/gshadow are configured",L1,Fail
1.4.3,"Ensure permissions on /etc/passwd are configured",L1,Pass
1.4.4,"Ensure permissions on /etc/group are configured",L1,Pass
1.4.5,"Ensure permissions on /etc/at.allow are configured",L1,Pass
1.4.6,"Ensure permissions on /etc/cron.allow are configured",L1,Pass
1.4.7,"Ensure permissions on /etc/crontab are configured",L1,Fail
1.4.8,"Ensure permissions on /etc/anacrontab are configured",L1,Fail
1.4.9,"Ensure permissions on /etc/ssh/sshd_config are configured",L1,Fail
1.4.10,"Ensure access to the su command is restricted",L1,Fail
1.5.1,"Ensure core dumps are restricted",L1,Fail
1.5.3,"Ensure address space layout randomization (ASLR) is enabled",L1,Pass
1.6.1,"Ensure AppArmor is installed",L1,Pass
1.6.2,"Ensure all recommended AppArmor profiles are loaded",L1,Pass
1.6.3,"Ensure AppArmor is enabled",L1,Pass
2.1.1,"Ensure unnecessary services are disabled",L1,Manual Check Required
2.2.1,"Ensure time synchronization is in use",L1,Pass
2.3.1,"Ensure X Window System is not installed",L1,Fail
2.4.1,"Ensure Avahi Server is not enabled",L1,Fail
